"collectionunitid","agemodel","ageboundolder","ageboundyounger","dateprepared","chronologies.notes","TEMP_chronid"
4678,"event",1184,934,"2025-01-21",NA,"TEMP268"
4679,"bounds",8104,4084,"2025-01-21",NA,"TEMP269"
4679,"event",6834,5324,"2025-01-21",NA,"TEMP270"
4681,"bounds",12854,9334,"2025-01-21",NA,"TEMP271"
4681,"event",11654,10524,"2025-01-21",NA,"TEMP272"
4683,"bounds",7664,4064,"2025-01-21",NA,"TEMP273"
4683,"event",6444,5284,"2025-01-21",NA,"TEMP274"
4684,"bounds",8464,814,"2025-01-26",NA,"TEMP275"
4684,"event",7764,974,"2025-01-26",NA,"TEMP276"
4691,"bounds",7164,534,"2025-01-26",NA,"TEMP277"
4691,"event",6404,764,"2025-01-26",NA,"TEMP278"
4702,"bounds",2134,1024,"2025-01-21",NA,"TEMP279"
4702,"event",1754,1394,"2025-01-21",NA,"TEMP280"
4704,"bounds",984,314,"2025-01-21",NA,"TEMP281"
4704,"event",744,544,"2025-01-21",NA,"TEMP282"
4706,"bounds",5324,74,"2025-01-21",NA,"TEMP283"
4706,"event",3714,1674,"2025-01-21",NA,"TEMP284"
4713,"bounds",754,584,"2025-01-21",NA,"TEMP285"
4713,"event",714,644,"2025-01-21",NA,"TEMP286"
4718,"bounds",53900,11292,"2025-01-26",NA,"TEMP287"
4718,"event",48400,12900,"2025-01-26",NA,"TEMP288"
4720,"bounds",1334,1064,"2025-01-21",NA,"TEMP289"
4720,"event",1264,1144,"2025-01-21",NA,"TEMP290"
4722,"bounds",14264,12084,"2025-01-21",NA,"TEMP291"
4722,"event",13624,12754,"2025-01-21",NA,"TEMP292"
4724,"bounds",884,494,"2025-01-21",NA,"TEMP293"
4724,"event",744,604,"2025-01-21",NA,"TEMP294"
4731,"bounds",1584,94,"2025-01-21",NA,"TEMP295"
4731,"event",1114,574,"2025-01-21",NA,"TEMP296"
4732,"bounds",684,654,"2025-01-21",NA,"TEMP297"
4732,"event",684,664,"2025-01-21",NA,"TEMP298"
4733,"bounds",3904,2644,"2025-01-21",NA,"TEMP299"
4733,"event",3504,3024,"2025-01-21",NA,"TEMP300"
4734,"bounds",1194,534,"2025-01-21",NA,"TEMP301"
4734,"event",974,764,"2025-01-21",NA,"TEMP302"
4735,"bounds",804,654,"2025-01-21",NA,"TEMP303"
4735,"event",754,704,"2025-01-21",NA,"TEMP304"
4746,"bounds",1054,874,"2025-01-21",NA,"TEMP305"
4746,"event",994,934,"2025-01-21",NA,"TEMP306"
4750,"bounds",924,334,"2025-01-21",NA,"TEMP307"
4750,"event",714,534,"2025-01-21",NA,"TEMP308"
4751,"bounds",1034,64,"2025-01-21",NA,"TEMP309"
4751,"event",694,404,"2025-01-21",NA,"TEMP310"
4753,"bounds",804,374,"2025-01-21",NA,"TEMP311"
4753,"event",654,514,"2025-01-21",NA,"TEMP312"
4754,"bounds",964,304,"2025-01-21",NA,"TEMP313"
4754,"event",734,534,"2025-01-21",NA,"TEMP314"
4764,"bounds",654,514,"2025-01-21",NA,"TEMP315"
4764,"event",624,554,"2025-01-21",NA,"TEMP316"
4766,"bounds",2504,964,"2025-01-21",NA,"TEMP317"
4766,"event",2014,1444,"2025-01-21",NA,"TEMP318"
4767,"bounds",4904,1294,"2025-01-26",NA,"TEMP319"
4767,"event",3944,1594,"2025-01-26",NA,"TEMP320"
4769,"bounds",3254,534,"2025-01-21",NA,"TEMP321"
4769,"event",2444,1364,"2025-01-21",NA,"TEMP322"
4771,"bounds",1734,1544,"2025-01-21",NA,"TEMP323"
4771,"event",1684,1594,"2025-01-21",NA,"TEMP324"
4772,"bounds",744,284,"2025-01-21",NA,"TEMP325"
4772,"event",594,434,"2025-01-21",NA,"TEMP326"
4774,"bounds",1854,484,"2025-01-21",NA,"TEMP327"
4774,"event",1414,914,"2025-01-21",NA,"TEMP328"
4778,"bounds",924,574,"2025-01-21",NA,"TEMP329"
4778,"event",794,684,"2025-01-21",NA,"TEMP330"
4779,"bounds",1674,584,"2025-01-26",NA,"TEMP331"
4779,"event",1504,744,"2025-01-26",NA,"TEMP332"
4780,"bounds",1734,624,"2025-01-26",NA,"TEMP333"
4780,"event",1594,814,"2025-01-26",NA,"TEMP334"
4782,"bounds",1794,944,"2025-01-21",NA,"TEMP335"
4782,"event",1494,1234,"2025-01-21",NA,"TEMP336"
4784,"bounds",1764,444,"2025-01-21",NA,"TEMP337"
4784,"event",1334,884,"2025-01-21",NA,"TEMP338"
4787,"bounds",374,14,"2025-01-21",NA,"TEMP339"
4787,"event",274,114,"2025-01-21",NA,"TEMP340"
4789,"bounds",3424,434,"2025-01-21",NA,"TEMP341"
4789,"event",2444,1414,"2025-01-21",NA,"TEMP342"
4791,"bounds",2384,1234,"2025-01-21",NA,"TEMP343"
4791,"event",1994,1624,"2025-01-21",NA,"TEMP344"
4792,"bounds",914,684,"2025-01-21",NA,"TEMP345"
4792,"event",844,754,"2025-01-21",NA,"TEMP346"
4794,"bounds",14904,8444,"2025-01-21",NA,"TEMP347"
4794,"event",12904,10384,"2025-01-21",NA,"TEMP348"
4800,"bounds",2004,1044,"2025-01-26",NA,"TEMP349"
4800,"event",1914,1304,"2025-01-26",NA,"TEMP350"
4801,"bounds",1384,544,"2025-01-21",NA,"TEMP351"
4801,"event",1104,824,"2025-01-21",NA,"TEMP352"
4805,"bounds",15864,10314,"2025-01-21",NA,"TEMP353"
4805,"event",13914,12244,"2025-01-21",NA,"TEMP354"
4806,"bounds",1054,524,"2025-01-21",NA,"TEMP355"
4806,"event",884,704,"2025-01-21",NA,"TEMP356"
4807,"bounds",1624,424,"2025-01-21",NA,"TEMP357"
4807,"event",1224,824,"2025-01-21",NA,"TEMP358"
4808,"bounds",1794,104,"2025-01-21",NA,"TEMP359"
