"site_name","site_identifier","siteid.x","sitename","lab_number","age","errorolder","erroryounger","measured_age","ma_sigma","normalized_age","na_sigma"
"Steuben","11MA213",5376,"Steuben Village","M-440",1325,200,200,1325,100,1325,100
"Steuben","11MA213",5376,"Steuben Village","M-441",1275,200,200,1275,100,1275,100
"Steuben","11MA213",5376,"Steuben Village","M-545",1900,200,200,1900,100,1900,100
"Steuben","11MA213",5376,"Steuben Village","M-548",2010,200,200,2010,100,2010,100
"Prairie Creek","12DA9",3596,"Prairie Creek [12Da9]","ISGS-269",2535,75,75,2540,80,2540,80
"Prairie Creek","12DA9",3596,"Prairie Creek [12Da9]","ISGS-270",3535,90,90,3540,90,3540,90
"Budenbender","14PO4",4261,"Budenbender [14PO4]","M-869",760,150,150,760,75,760,75
"Indian Knoll","15OH2",3606,"Indian Knoll [15OH-2]","C-741",4043,365,365,3963,350,4043,350
"St. Gabriel","16IV128",5936,"St. Gabriel [16IV128]","UGa-1696",930,90,90,970,80,970,80
"Sleeping Bear","20LU-?",5330,"Sleeping Bear Dune","M-208",730,250,250,730,125,730,125
"Feeheley","20SA128",5375,"Feeheley [20SA128]","M-1139",3930,300,300,3930,150,3930,150
"Juntunen (Arrowhead Drive ossuary)","20MK1",3641,"Juntunen [20MK1]","M-1140",890,150,150,890,75,890,75
"Juntunen (Arrowhead Drive ossuary)","20MK1",3641,"Juntunen [20MK1]","M-1141",1050,150,150,1050,75,1050,75
"Juntunen (Arrowhead Drive ossuary)","20MK1",3641,"Juntunen [20MK1]","M-1142",1125,150,150,1125,75,1125,75
"Juntunen (Arrowhead Drive ossuary)","20MK1",3641,"Juntunen [20MK1]","M-1188",630,150,150,630,75,630,75
