"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","source","TEMP_chronid"
15604,153330,"event",764,854,684,"computed","TEMP2050"
15604,153330,"bounds",NA,1024,514,"computed","TEMP2049"
15605,153331,"event",1024,1124,934,"computed","TEMP2052"
15605,153331,"bounds",NA,1264,784,"computed","TEMP2051"
15606,153332,"event",1464,1694,1264,"computed","TEMP2054"
15606,153332,"bounds",NA,2164,784,"computed","TEMP2053"
15607,153333,"event",1454,1564,1354,"computed","TEMP2056"
15607,153333,"bounds",NA,1794,1124,"computed","TEMP2055"
15608,153334,"event",1554,1844,1304,"computed","TEMP2058"
15608,153334,"bounds",NA,2444,694,"computed","TEMP2057"
15609,153335,"event",1604,1784,1454,"computed","TEMP2060"
15609,153335,"bounds",NA,2134,1104,"computed","TEMP2059"
15610,153336,"event",1914,2144,1714,"computed","TEMP2062"
15610,153336,"bounds",NA,2594,1254,"computed","TEMP2061"
15611,153337,"event",2204,2434,1994,"computed","TEMP2064"
15611,153337,"bounds",NA,2914,1514,"computed","TEMP2063"
15612,153338,"event",2254,2424,2094,"computed","TEMP2066"
15612,153338,"bounds",NA,2804,1714,"computed","TEMP2065"
15613,153339,"event",2424,2614,2244,"computed","TEMP2068"
15613,153339,"bounds",NA,2934,1914,"computed","TEMP2067"
15614,153340,"event",2484,3004,1984,"computed","TEMP2070"
15614,153340,"bounds",NA,4104,884,"computed","TEMP2069"
15615,153341,"event",3514,3714,3324,"computed","TEMP2072"
15615,153341,"bounds",NA,4134,2904,"computed","TEMP2071"
15616,153342,"event",3634,3804,3484,"computed","TEMP2074"
15616,153342,"bounds",NA,4144,3144,"computed","TEMP2073"
15618,153344,"event",4604,4814,4394,"computed","TEMP2076"
15618,153344,"bounds",NA,5254,3944,"computed","TEMP2075"
15623,153435,"event",824,954,704,"computed","TEMP2078"
15623,153435,"bounds",NA,1224,444,"computed","TEMP2077"
15624,153436,"event",6974,7284,6654,"computed","TEMP2080"
15624,153436,"bounds",NA,7924,6024,"computed","TEMP2079"
15683,154077,"event",22064,22744,21374,"computed","TEMP2082"
15683,154077,"bounds",NA,24114,20004,"computed","TEMP2081"
15684,154078,"event",12944,13534,12324,"computed","TEMP2084"
15684,154078,"bounds",NA,14894,10974,"computed","TEMP2083"
15685,154079,"event",14164,14644,13794,"computed","TEMP2086"
15685,154079,"bounds",NA,15474,12964,"computed","TEMP2085"
15686,154080,"event",15044,16154,14064,"computed","TEMP2088"
15686,154080,"bounds",NA,18284,11954,"computed","TEMP2087"
15710,154852,"event",7544,7854,7234,"computed","TEMP2090"
15710,154852,"bounds",NA,8544,6544,"computed","TEMP2089"
15711,154853,"event",3204,3464,2954,"computed","TEMP2092"
15711,154853,"bounds",NA,4014,2404,"computed","TEMP2091"
15712,154854,"event",2994,3254,2744,"computed","TEMP2094"
15712,154854,"bounds",NA,3824,2164,"computed","TEMP2093"
15713,154855,"event",454,604,304,"computed","TEMP2096"
15713,154855,"bounds",NA,934,-36,"computed","TEMP2095"
15714,154856,"event",12384,13194,11564,"computed","TEMP2098"
15714,154856,"bounds",NA,14924,9854,"computed","TEMP2097"
15715,154857,"event",11084,11834,10404,"computed","TEMP2100"
15715,154857,"bounds",NA,13314,8924,"computed","TEMP2099"
15721,155038,"event",254,384,124,"computed","TEMP2102"
15721,155038,"bounds",NA,604,-75,"computed","TEMP2101"
15722,155039,"event",12864,13134,12564,"computed","TEMP2104"
15722,155039,"bounds",NA,13794,11894,"computed","TEMP2103"
15723,155040,"event",14234,15244,13344,"computed","TEMP2106"
15723,155040,"bounds",NA,17124,11454,"computed","TEMP2105"
15727,155305,"event",2234,2374,2094,"computed","TEMP2108"
15727,155305,"bounds",NA,2714,1754,"computed","TEMP2107"
15728,155306,"event",5514,5814,5194,"computed","TEMP2110"
15728,155306,"bounds",NA,6494,4524,"computed","TEMP2109"
15729,155307,"event",2914,3104,2734,"computed","TEMP2112"
15729,155307,"bounds",NA,3524,2314,"computed","TEMP2111"
15730,155308,"event",22204,23014,21404,"computed","TEMP2114"
15730,155308,"bounds",NA,24724,19704,"computed","TEMP2113"
15731,155309,"event",19724,20434,19084,"computed","TEMP2116"
15731,155309,"bounds",NA,21934,17604,"computed","TEMP2115"
15732,155310,"event",17184,17744,16604,"computed","TEMP2118"
15732,155310,"bounds",NA,18934,15414,"computed","TEMP2117"
15733,155311,"event",2394,2574,2224,"computed","TEMP2120"
15733,155311,"bounds",NA,2894,1904,"computed","TEMP2119"
15734,155312,"event",2174,2314,2034,"computed","TEMP2122"
15734,155312,"bounds",NA,2604,1744,"computed","TEMP2121"
15735,155313,"event",1834,1954,1734,"computed","TEMP2124"
15735,155313,"bounds",NA,2174,1504,"computed","TEMP2123"
15736,155314,"event",11284,12274,10394,"computed","TEMP2126"
15736,155314,"bounds",NA,14074,8574,"computed","TEMP2125"
15737,155315,"event",8394,8574,8214,"computed","TEMP2128"
15737,155315,"bounds",NA,8974,7824,"computed","TEMP2127"
15738,155316,"event",11384,11824,10954,"computed","TEMP2130"
15738,155316,"bounds",NA,12724,10054,"computed","TEMP2129"
15744,155521,"event",254,404,114,"computed","TEMP2132"
15744,155521,"bounds",NA,634,-75,"computed","TEMP2131"
15745,155522,"event",3134,3514,2764,"computed","TEMP2134"
15745,155522,"bounds",NA,4364,1914,"computed","TEMP2133"
15746,155523,"event",12424,12724,12064,"computed","TEMP2136"
15746,155523,"bounds",NA,13404,11374,"computed","TEMP2135"
15754,155665,"event",14774,15684,13964,"computed","TEMP2138"
15754,155665,"bounds",NA,17384,12274,"computed","TEMP2137"
15755,155666,"event",10324,10514,10154,"computed","TEMP2140"
15755,155666,"bounds",NA,10924,9734,"computed","TEMP2139"
15756,155667,"event",3844,4044,3664,"computed","TEMP2142"
15756,155667,"bounds",NA,4444,3264,"computed","TEMP2141"
15757,155668,"event",8854,9014,8684,"computed","TEMP2144"
15757,155668,"bounds",NA,9354,8364,"computed","TEMP2143"
15758,155669,"event",4384,4524,4234,"computed","TEMP2146"
15758,155669,"bounds",NA,4864,3894,"computed","TEMP2145"
15759,155670,"event",25324,26514,24234,"computed","TEMP2148"
15759,155670,"bounds",NA,28784,21954,"computed","TEMP2147"
15760,155671,"event",4134,4254,4004,"computed","TEMP2150"
15760,155671,"bounds",NA,4524,3744,"computed","TEMP2149"
15845,166228,"event",154,264,54,"computed","TEMP2152"
15845,166228,"bounds",NA,444,-75,"computed","TEMP2151"
15846,166229,"event",574,674,444,"computed","TEMP2154"
15846,166229,"bounds",NA,944,184,"computed","TEMP2153"
15847,166230,"event",794,934,684,"computed","TEMP2156"
15847,166230,"bounds",NA,1194,414,"computed","TEMP2155"
15848,166231,"event",1444,1544,1354,"computed","TEMP2158"
15848,166231,"bounds",NA,1774,1134,"computed","TEMP2157"
15849,166232,"event",2154,2354,1954,"computed","TEMP2160"
15849,166232,"bounds",NA,2814,1494,"computed","TEMP2159"
15850,166233,"event",2494,2704,2274,"computed","TEMP2162"
15850,166233,"bounds",NA,3154,1824,"computed","TEMP2161"
15851,166234,"event",3424,3604,3244,"computed","TEMP2164"
15851,166234,"bounds",NA,3984,2864,"computed","TEMP2163"
15852,166235,"event",4254,4434,4064,"computed","TEMP2166"
15852,166235,"bounds",NA,4854,3634,"computed","TEMP2165"
15853,166236,"event",4394,4644,4164,"computed","TEMP2168"
15853,166236,"bounds",NA,5134,3674,"computed","TEMP2167"
15854,166237,"event",7664,8144,7214,"computed","TEMP2170"
15854,166237,"bounds",NA,9154,6194,"computed","TEMP2169"
