"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","TEMP_chronid"
6014,9784,"TX-3382",4364,4664,4134,112,82795,"TEMP1208"
6015,9800,"Beta-4276",194,414,14,112,82796,"TEMP1210"
6015,9799,"Beta-2525",184,384,14,112,82796,"TEMP1210"
6015,9807,"Beta-4280",964,1204,754,112,82797,"TEMP1210"
6015,9805,"Beta-4275",994,1164,824,112,82797,"TEMP1210"
6015,9803,"Beta-2524",754,894,684,112,82797,"TEMP1210"
6015,9806,"Beta-4279",704,774,664,112,82797,"TEMP1210"
6015,9804,"Beta-2526",584,654,504,112,82797,"TEMP1210"
6015,9808,"Beta-4283",554,644,464,112,82797,"TEMP1210"
6015,9809,"Beta-4272",2994,3164,2834,112,82798,"TEMP1210"
6015,9812,"Beta-4274",3824,4024,3654,112,82799,"TEMP1210"
6015,9811,"Beta-4273",3774,3974,3594,112,82799,"TEMP1210"
6015,9810,"Beta-4271",3334,3534,3104,112,82799,"TEMP1210"
6015,9813,"Beta-4282",2994,3214,2804,112,82799,"TEMP1210"
6017,9815,"RL-92",7854,8194,7584,112,82804,"TEMP1212"
6017,9814,"RL-46",7464,7654,7224,112,82804,"TEMP1212"
6017,9816,"RL-45",4374,4704,4114,112,82805,"TEMP1212"
6017,9817,"RL-106",4364,4744,4034,112,82805,"TEMP1212"
6017,9818,"RL-93",4114,4524,3724,112,82806,"TEMP1212"
6017,9819,"RL-44",3144,3354,2904,112,82807,"TEMP1212"
6017,9820,"RL-42",804,934,694,112,82808,"TEMP1212"
6017,9821,"RL-43",794,924,684,112,82808,"TEMP1212"
6018,9822,"RL-36",244,464,14,112,82811,"TEMP1214"
6018,9823,"RL-37",964,1174,784,112,82814,"TEMP1214"
6018,9824,"RL-38",854,1034,704,112,82815,"TEMP1214"
6018,9825,"RL-39",2014,2294,1774,112,82816,"TEMP1214"
6018,9826,"RL-40",2024,2284,1844,112,82817,"TEMP1214"
6018,9827,"RL-41",1954,2194,1754,112,82817,"TEMP1214"
6019,9828,"RL-47",884,1124,714,112,82818,"TEMP1216"
6020,9829,"Beta-2522",2654,2804,2454,112,82824,"TEMP1218"
6020,9830,"Beta-2523",5464,5654,5154,112,82825,"TEMP1218"
6020,9831,"Beta-4032",3534,3754,3394,112,82825,"TEMP1218"
6020,9832,"TX-4033",3424,3524,3354,112,82825,"TEMP1218"
6021,9834,"TX-4180",394,494,194,112,82826,"TEMP1220"
6021,9833,"TX-4179",374,484,124,112,82826,"TEMP1220"
6021,9835,"TX-3051",1984,4224,534,112,82828,"TEMP1220"
6022,9836,"TX-3394",1114,1244,994,112,82831,"TEMP1222"
6022,9837,"TX-2898",1004,1154,924,112,82832,"TEMP1222"
6022,9840,"TX-3395",1004,1104,944,112,82832,"TEMP1222"
6022,9838,"TX-3392",984,1054,934,112,82832,"TEMP1222"
6022,9839,"TX-3393",974,1054,904,112,82832,"TEMP1222"
6023,9841,"TX-4177",374,484,174,112,82834,"TEMP1224"
6023,9842,"TX-4172",304,454,34,112,82834,"TEMP1224"
6023,9845,"TX-4175",754,894,684,112,82835,"TEMP1224"
6023,9843,"TX-3131",694,754,584,112,82835,"TEMP1224"
6023,9844,"TX-4173",654,734,564,112,82835,"TEMP1224"
6023,9846,"TX-4178",614,674,514,112,82835,"TEMP1224"
6023,9847,"TX-4174",3534,4594,2864,112,82836,"TEMP1224"
6023,9848,"TX-4176",3104,3544,2614,112,82836,"TEMP1224"
6024,9849,"TX-4034",1414,1524,1324,112,82839,"TEMP1226"
6034,9850,"WSU-3593",7524,7694,7344,112,82854,"TEMP1228"
6034,9851,"Beta-18824",5974,6274,5654,112,91869,"TEMP1228"
6034,9852,"WSU-3592",7354,7544,7124,112,82856,"TEMP1228"
6035,9853,"WSU-3563",614,674,554,112,82861,"TEMP1230"
6035,9857,"WSU-3565",864,1074,744,112,82862,"TEMP1230"
6035,9856,"WSU-3564",864,964,794,112,82862,"TEMP1230"
