"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","TEMP_chronid"
"5226",81393,"event",NA,6812,0,"TEMP666"
"5226",81393,"bounds",NA,4257,0,"TEMP665"
"5226",81394,"event",8472,10167,6812,"TEMP666"
"5226",81394,"bounds",NA,13132,4257,"TEMP665"
"5226",81396,"event",8472,10167,6812,"TEMP666"
"5226",81396,"bounds",NA,13132,4257,"TEMP665"
"5226",81397,"event",8472,10167,6812,"TEMP666"
"5226",81397,"bounds",NA,13132,4257,"TEMP665"
"5226",81398,"event",8472,10167,6812,"TEMP666"
"5226",81398,"bounds",NA,13132,4257,"TEMP665"
"5226",81402,"event",NA,24832,7907,"TEMP666"
"5226",81402,"bounds",NA,28002,5192,"TEMP665"
"5239",81416,"event",NA,2132,0,"TEMP680"
"5239",81416,"bounds",NA,2112,0,"TEMP679"
"5239",81417,"event",NA,2132,0,"TEMP680"
"5239",81417,"bounds",NA,2112,0,"TEMP679"
"5239",81418,"event",NA,2262,0,"TEMP680"
"5239",81418,"bounds",NA,2282,0,"TEMP679"
"5239",81420,"event",NA,2262,2132,"TEMP680"
"5239",81420,"bounds",NA,2282,2112,"TEMP679"
"5239",81421,"event",NA,2262,2132,"TEMP680"
"5239",81421,"bounds",NA,2282,2112,"TEMP679"
"5239",81422,"event",NA,2262,2132,"TEMP680"
"5239",81422,"bounds",NA,2282,2112,"TEMP679"
"5239",81423,"event",NA,2262,2132,"TEMP680"
"5239",81423,"bounds",NA,2282,2112,"TEMP679"
"5313",81507,"event",NA,632,92,"TEMP692"
"5313",81507,"bounds",NA,967,-75,"TEMP691"
"5313",81508,"event",NA,632,92,"TEMP692"
"5313",81508,"bounds",NA,967,-75,"TEMP691"
"5313",81509,"event",NA,632,92,"TEMP692"
"5313",81509,"bounds",NA,967,-75,"TEMP691"
"5313",81510,"event",NA,632,92,"TEMP692"
"5313",81510,"bounds",NA,967,-75,"TEMP691"
"5313",81512,"event",NA,632,92,"TEMP692"
"5313",81512,"bounds",NA,967,-75,"TEMP691"
"5314",81515,"event",NA,5932,5777,"TEMP694"
"5314",81515,"bounds",NA,6937,4292,"TEMP693"
"5314",81516,"event",NA,5932,5777,"TEMP694"
"5314",81516,"bounds",NA,6937,4292,"TEMP693"
"5314",81518,"event",NA,6912,5932,"TEMP694"
"5314",81518,"bounds",NA,7907,5412,"TEMP693"
"5314",81521,"event",NA,7362,6837,"TEMP694"
"5314",81521,"bounds",NA,8422,5957,"TEMP693"
"5314",81525,"event",NA,9252,8192,"TEMP694"
"5314",81525,"bounds",NA,9927,7577,"TEMP693"
"5314",81529,"event",NA,9117,8872,"TEMP694"
"5314",81529,"bounds",NA,9722,8492,"TEMP693"
"5314",81533,"event",NA,10327,9512,"TEMP694"
"5314",81533,"bounds",NA,10207,9607,"TEMP693"
"5314",81534,"event",NA,10327,9512,"TEMP694"
"5314",81534,"bounds",NA,10207,9607,"TEMP693"
"5314",81536,"event",NA,12662,10522,"TEMP694"
"5314",81536,"bounds",NA,12267,10647,"TEMP693"
"5314",81538,"event",NA,4707,1757,"TEMP694"
"5314",81538,"bounds",NA,4557,1182,"TEMP693"
"5334",81565,"event",11182,11487,10827,"TEMP708"
"5334",81565,"bounds",NA,12107,10172,"TEMP707"
"5334",81566,"event",11182,11487,10827,"TEMP708"
"5334",81566,"bounds",NA,12107,10172,"TEMP707"
