"siteid","collectionunitid","datasetid","datasettype"
4073,5009,10657,NA
4076,5012,5157,"vertebrate"
4076,5012,9558,"geochron"
4077,5013,5158,"vertebrate"
4077,5013,9559,"geochron"
4078,5014,5159,"vertebrate"
4078,5014,9560,"geochron"
4078,5014,10658,NA
4079,5015,5160,"vertebrate"
4079,5015,9561,"geochron"
4080,5016,5161,"vertebrate"
4080,5016,9562,"geochron"
4085,5021,5166,"vertebrate"
4085,5021,61380,"geochron"
4086,5022,5167,"vertebrate"
4086,5022,9564,"geochron"
4087,5023,5168,"vertebrate"
4087,5023,9565,"geochron"
4088,5024,5169,"vertebrate"
4088,5024,9566,"geochron"
4093,5029,5174,"vertebrate"
4093,5029,9567,"geochron"
4094,5030,5175,"vertebrate"
4094,5030,9568,"geochron"
4096,5032,5177,"vertebrate"
4096,5032,9569,"geochron"
4097,5035,5180,"vertebrate"
4097,5035,9570,"geochron"
4097,5035,10662,NA
4098,5036,5181,"vertebrate"
4098,5036,9571,"geochron"
4098,5036,10663,NA
4099,5037,5182,"vertebrate"
4099,5037,9572,"geochron"
4099,5037,10664,NA
4102,5040,5185,"vertebrate"
4102,5040,9573,"geochron"
4103,5041,5186,"vertebrate"
4103,5041,9574,"geochron"
4104,5042,5187,"vertebrate"
4104,5042,9575,"geochron"
4104,5043,5188,"vertebrate"
4104,5043,9576,"geochron"
4105,5044,5189,"vertebrate"
4105,5044,9577,"geochron"
4106,5045,5190,"vertebrate"
4106,5045,9578,"geochron"
4107,5046,5191,"vertebrate"
4107,5046,9579,"geochron"
4110,5049,5194,"vertebrate"
4110,5049,9580,"geochron"
4110,5050,5195,"vertebrate"
4110,5050,9581,"geochron"
4110,5051,5196,"vertebrate"
4110,5051,9582,"geochron"
4111,5052,5197,"vertebrate"
4111,5052,9583,"geochron"
4112,5053,5198,"vertebrate"
4112,5053,9584,"geochron"
4113,5054,5199,"vertebrate"
4113,5054,9585,"geochron"
4116,5057,5202,"vertebrate"
4116,5057,9586,"geochron"
4117,5058,5203,"vertebrate"
4117,5058,9587,"geochron"
4118,5059,5204,"vertebrate"
4118,5059,9588,"geochron"
4118,5060,5205,"vertebrate"
4118,5060,9589,"geochron"
4120,5062,5207,"vertebrate"
4120,5062,9590,"geochron"
4121,5063,5208,"vertebrate"
4121,5063,61381,"geochron"
4125,5067,5212,"vertebrate"
4125,5067,9591,"geochron"
4126,5068,5213,"vertebrate"
4126,5068,9592,"geochron"
4129,5071,5216,"vertebrate"
4129,5071,9593,"geochron"
4132,5074,5219,"vertebrate"
4132,5074,61382,"geochron"
4139,6621,6766,"vertebrate"
4139,6621,10113,"geochron"
4144,5086,5231,"vertebrate"
4144,5086,61383,"geochron"
4146,5088,5233,"vertebrate"
4146,5088,9594,"geochron"
4147,5089,5234,"vertebrate"
4147,5089,9595,"geochron"
4147,5089,10665,NA
4148,5090,5235,"vertebrate"
4148,5090,9596,"geochron"
4148,5090,10666,NA
4150,5092,5237,"vertebrate"
4150,5092,9597,"geochron"
4158,5103,5248,"vertebrate"
4158,5103,9598,"geochron"
4158,5103,10670,NA
4159,5104,5249,"vertebrate"
4159,5104,9599,"geochron"
4159,5104,10671,NA
4160,5105,5250,"vertebrate"
4160,5105,9600,"geochron"
4160,5105,10672,NA
4161,5106,5251,"vertebrate"
4161,5106,9601,"geochron"
4161,5106,10673,NA
4162,5107,5252,"vertebrate"
4162,5107,9602,"geochron"
4162,5107,10674,NA
4163,5108,5253,"vertebrate"
4163,5108,9603,"geochron"
4164,5109,5254,"vertebrate"
4164,5109,9604,"geochron"
4170,5115,5260,"vertebrate"
4170,5115,9605,"geochron"
4170,5115,10675,NA
4171,5116,5261,"vertebrate"
4171,5116,9606,"geochron"
4171,5118,5263,"vertebrate"
4171,5118,9607,"geochron"
4172,5120,5265,"vertebrate"
4172,5120,9608,"geochron"
4173,5121,5266,"vertebrate"
4173,5121,9609,"geochron"
4173,5121,10676,NA
4174,5122,5267,"vertebrate"
4174,5122,9610,"geochron"
4175,5123,5268,"vertebrate"
4175,5123,9611,"geochron"
4176,5124,5269,"vertebrate"
4176,5124,9612,"geochron"
4177,5125,5270,"vertebrate"
4177,5125,9613,"geochron"
4178,5126,5271,"vertebrate"
4178,5126,9614,"geochron"
4179,5127,5272,"vertebrate"
4179,5127,9615,"geochron"
4180,5128,5273,"vertebrate"
4180,5128,9616,"geochron"
4181,5129,5274,"vertebrate"
4181,5129,9617,"geochron"
4182,5130,5275,"vertebrate"
4182,5130,9618,"geochron"
4183,5131,5276,"vertebrate"
4183,5131,9619,"geochron"
4184,5132,5277,"vertebrate"
4184,5132,9620,"geochron"
4185,5133,5278,"vertebrate"
4185,5133,9621,"geochron"
4208,5177,5322,"vertebrate"
4208,5177,9622,"geochron"
4209,5178,5323,"vertebrate"
4209,5178,9623,"geochron"
4210,5179,5324,"vertebrate"
4210,5179,9624,"geochron"
4212,5181,5326,"vertebrate"
4212,5181,61384,"geochron"
4216,5185,5330,"vertebrate"
4216,5185,9625,"geochron"
4216,5185,10680,NA
4219,5188,5333,"vertebrate"
4219,5188,9626,"geochron"
4221,5190,5335,"vertebrate"
4221,5190,61385,"geochron"
4223,5192,5337,"vertebrate"
4223,5192,9627,"geochron"
4223,5192,10681,NA
4230,5199,5344,"vertebrate"
4230,5199,9628,"geochron"
4230,5199,10684,NA
4237,5206,5351,"vertebrate"
4237,5206,9629,"geochron"
4238,5207,5352,"vertebrate"
4238,5207,9630,"geochron"
4238,5207,10687,NA
