"TEMP_chronid","ndb.chronologies.chronologyid","ndb.chronologies.collectionunitid","ndb.chronologies.agemodel","ndb.chronologies.ageboundolder","ndb.chronologies.ageboundyounger","ndb.chronologies.dateprepared","ndb.chronologies.notes","ndb.chronologies.agetypeid","ndb.chronologies.contactid","ndb.chronologies.isdefault","ndb.chronologies.chronologyname"
"TEMP224",NA,4622,"event",10724,9664,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP225",NA,4625,"bounds",13264,12654,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP226",NA,4625,"event",13064,12814,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP227",NA,4627,"bounds",674,334,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP228",NA,4627,"event",584,444,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP229",NA,4628,"bounds",554,14,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP230",NA,4628,"event",414,174,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP231",NA,4632,"bounds",2514,634,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP232",NA,4632,"event",1864,1284,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP233",NA,4637,"bounds",1264,734,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP234",NA,4637,"event",1104,904,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP235",NA,4642,"bounds",13124,10904,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP236",NA,4642,"event",12484,11534,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP237",NA,4646,"bounds",5284,3924,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP238",NA,4646,"event",4794,4314,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP239",NA,4647,"bounds",11344,-75,45678,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP240",NA,4647,"event",7724,3344,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP241",NA,4649,"bounds",8714,7284,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP242",NA,4649,"event",8234,7754,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP243",NA,4652,"bounds",624,-75,45678,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP244",NA,4652,"event",404,134,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP245",NA,4655,"bounds",9754,7554,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP246",NA,4655,"event",9014,8284,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP247",NA,4656,"bounds",1254,1064,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP248",NA,4656,"event",1204,1114,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP249",NA,4657,"bounds",5364,4864,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP250",NA,4657,"event",5234,5004,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP251",NA,4658,"bounds",474,64,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP252",NA,4658,"event",344,194,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP253",NA,4659,"bounds",5714,3684,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP254",NA,4659,"event",5024,4384,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP255",NA,4662,"bounds",3264,2494,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP256",NA,4662,"event",3014,2764,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP257",NA,4664,"bounds",3534,3024,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP258",NA,4664,"event",3384,3194,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP259",NA,4671,"bounds",12100,7300,45683,NA,3,6539,FALSE,"Syverson-Blois"
